,Year,Country,Population
400,1963,ETH,23798430.0
401,1963,UZB,9428906.0
402,1963,KGZ,2413700.0
403,1963,TJK,2318248.0
404,1963,JPN,96812000.0
405,1963,BRA,78772657.0
406,1963,ISR,2379000.0
407,1963,SWE,7604328.0
408,1963,TUR,29531365.0
409,1963,ARM,2077578.0
410,1963,CIV,3918628.0
411,1963,KEN,8928511.0
412,1963,BEN,2542859.0
413,1963,GHA,7300116.0
414,1963,SOM,2936477.0
415,1963,SYR,5034646.0
416,1963,GBR,53650000.0
417,1963,CHI,112595.0
418,1963,IND,478825608.0
419,1963,POL,30712000.0
420,1963,PAN,1238889.0
421,1963,GEO,3816100.0
422,1963,GUY,622575.0
423,1963,VEN,9052635.0
424,1963,COL,17629979.0
425,1963,PER,11062300.0
426,1963,UGA,7461634.0
427,1963,NZL,2531800.0
428,1963,ECU,4948986.0
429,1963,TKM,1773853.0
430,1963,TTO,891944.0
431,1963,DOM,3638109.0
432,1963,JAM,1703651.0
433,1963,LBR,1191802.0
434,1963,SUR,311947.0
435,1963,PLW,10569.0
436,1963,LTU,2898950.0
437,1963,NAM,681637.0
438,1963,UKR,44288608.0
439,1963,ISL,185653.0
440,1963,AUT,7175811.0
441,1963,RWA,3105419.0
442,1963,DMA,62918.0
443,1963,MLT,322550.0
444,1963,LUX,324100.0
445,1963,CYP,577913.0
446,1963,SGP,1795000.0
447,1963,SLE,2426857.0
448,1963,PNG,2385946.0
449,1963,AFG,9543205.0
450,1963,YEM,5556766.0
451,1963,MDA,2720000.0
452,1963,SRB,..
453,1963,CAF,1579370.0
454,1963,BIH,3417574.0
455,1963,GUM,71286.0
456,1963,SVK,4282017.0
457,1963,THA,29966865.0
458,1963,TLS,500647.0
459,1963,GAB,517580.0
460,1963,SMR,16679.0
461,1963,LAO,2273351.0
462,1963,KOR,27261747.0
463,1963,PRK,12065468.0
464,1963,MOZ,7679458.0
465,1963,SEN,3481654.0
466,1963,CPV,216096.0
467,1963,CZE,9670685.0
468,1963,BOL,3879192.0
469,1963,AND,16412.0
470,1963,HKG,3420900.0
471,1963,LCA,93211.0
472,1963,FSM,48855.0
473,1963,COD,16461830.0
474,1963,MLI,5441613.0
475,1963,STP,64231.0
476,1963,MKD,1547450.0
477,1963,LIE,17719.0
478,1963,MNE,513409.0
479,1963,ALB,1762621.0
480,1963,SWZ,357292.0
481,1963,BDI,2964427.0
482,1963,NRU,5275.0
483,1963,VNM,35721217.0
484,1963,MHL,16114.0
485,1963,KIR,44338.0
486,1963,TUV,5343.0
487,1963,SSD,3009062.0
488,1964,CHN,698355000.0
489,1964,FIN,4548543.0
490,1964,ROU,18919126.0
491,1964,NOR,3694339.0
492,1964,EST,1277086.0
493,1964,FRA,49230595.0
494,1964,ESP,31609195.0
495,1964,EGY,29644875.0
496,1964,ITA,51675350.0
497,1964,AZE,4456687.0
498,1964,RUS,125345000.0
499,1964,ARG,21824425.0
500,1964,CUB,7793262.0
501,1964,BLR,8524224.0
502,1964,CMR,5643036.0
503,1964,MEX,42771079.0
504,1964,USA,191889000.0
505,1964,HUN,10119835.0
506,1964,BRN,97812.0
507,1964,PAK,49627623.0
508,1964,IRQ,8122197.0
509,1964,QAT,67566.0
510,1964,CAN,19325000.0
511,1964,IRL,2866550.0
512,1964,AUS,11167000.0
513,1964,MAR,13857649.0
514,1964,ERI,1118159
515,1964,JOR,1102399.0
516,1964,TUN,4461114.0
517,1964,BEL,9378113.0
518,1964,DJI,107583.0
519,1964,COM,203753.0
520,1964,KAZ,11511847.0
521,1964,MDV,100171.0
522,1964,ETH,24397022.0
523,1964,UZB,9762816.0
524,1964,KGZ,2495300.0
525,1964,TJK,2402477.0
526,1964,JPN,97826000.0
527,1964,BRA,81064571.0
528,1964,ISR,2475000.0
529,1964,SWE,7661354.0
530,1964,TUR,30244261.0
531,1964,ARM,2145001.0
532,1964,CIV,4071411.0
533,1964,KEN,9222692.0
534,1964,BEN,2585965.0
535,1964,GHA,7524472.0
536,1964,SOM,3001158.0
537,1964,SYR,5200336.0
538,1964,GBR,54000000.0
539,1964,CHI,113773.0
540,1964,IND,488848135.0
541,1964,POL,31139450.0
542,1964,PAN,1276331.0
543,1964,GEO,3870300.0
544,1964,GUY,637845.0
545,1964,VEN,9369096.0
546,1964,COL,18175185.0
547,1964,PER,11383373.0
548,1964,UGA,7719104.0
549,1964,NZL,2585400.0
550,1964,ECU,5093854.0
551,1964,TKM,1833064.0
552,1964,TTO,902613.0
553,1964,DOM,3757132.0
554,1964,JAM,1730738.0
555,1964,LBR,1217901.0
556,1964,SUR,320270.0
557,1964,PLW,10799.0
558,1964,LTU,2935200.0
559,1964,NAM,698796.0
560,1964,UKR,44796964.0
561,1964,ISL,188983.0
562,1964,AUT,7223801.0
563,1964,RWA,3164263.0
564,1964,DMA,63926.0
565,1964,MLT,321250.0
566,1964,LUX,327750.0
567,1964,CYP,578625.0
568,1964,SGP,1841600.0
569,1964,SLE,2466667.0
570,1964,PNG,2434223.0
571,1964,AFG,9744781.0
572,1964,YEM,5641597.0
573,1964,MDA,2774000.0
574,1964,SRB,..
575,1964,CAF,1608616.0
576,1964,BIH,3478997.0
577,1964,GUM,73051.0
578,1964,SVK,4327341.0
579,1964,THA,30881138.0
580,1964,TLS,510034.0
581,1964,GAB,524895.0
582,1964,SMR,17099.0
583,1964,LAO,2327137.0
584,1964,KOR,27984155.0
585,1964,PRK,12282419.0
586,1964,MOZ,7857104.0
587,1964,SEN,3580239.0
588,1964,CPV,222948.0
589,1964,CZE,9727804.0
590,1964,BOL,3957757.0
591,1964,AND,17469.0
592,1964,HKG,3504600.0
593,1964,LCA,94636.0
594,1964,FSM,50468.0
595,1964,COD,16903831.0
596,1964,MLI,5503752.0
597,1964,STP,64277.0
598,1964,MKD,1569142.0
599,1964,LIE,18168.0
600,1964,MNE,521753.0
601,1964,ALB,1814135.0
602,1964,SWZ,365122.0
603,1964,BDI,3026290.0
604,1964,NRU,5592.0
605,1964,VNM,36779999.0
606,1964,MHL,16710.0
607,1964,KIR,45399.0
608,1964,TUV,5356.0
609,1964,SSD,3069739.0
610,1965,CHN,715185000.0
611,1965,FIN,4563732.0
612,1965,ROU,19031576.0
613,1965,NOR,3723168.0
614,1965,EST,1294566.0
615,1965,FRA,49818028.0
616,1965,ESP,31954292.0
617,1965,EGY,30433022.0
618,1965,ITA,52112350.0
619,1965,AZE,4592609.0
620,1965,RUS,126745000.0
621,1965,ARG,22159650.0
622,1965,CUB,7958169.0
623,1965,BLR,8610000.0
624,1965,CMR,5773543.0
625,1965,MEX,44123853.0
626,1965,USA,194303000.0
627,1965,HUN,10147935.0
628,1965,BRN,102386.0
629,1965,PAK,50917975.0
630,1965,IRQ,8375790.0
631,1965,QAT,73633.0
632,1965,CAN,19678000.0
633,1965,IRL,2877300.0
634,1965,AUS,11388000.0
635,1965,MAR,14230163.0
636,1965,ERI,1148189
637,1965,JOR,1173606.0
638,1965,TUN,4547941.0
639,1965,BEL,9463667.0
640,1965,DJI,114963.0
641,1965,COM,207424.0
642,1965,KAZ,11841920.0
643,1965,MDV,102718.0
644,1965,ETH,25013626.0
645,1965,UZB,10116870.0
646,1965,KGZ,2573300.0
647,1965,TJK,2487976.0
648,1965,JPN,98883000.0
649,1965,BRA,83373530.0
650,1965,ISR,2563000.0
651,1965,SWE,7733853.0
652,1965,TUR,30972994.0
653,1965,ARM,2211319.0
654,1965,CIV,4226844.0
655,1965,KEN,9530173.0
656,1965,BEN,2632356.0
657,1965,GHA,7739473.0
658,1965,SOM,3068459.0
659,1965,SYR,5373137.0
660,1965,GBR,54348050.0
661,1965,CHI,114995.0
662,1965,IND,499123324.0
663,1965,POL,31444950.0
664,1965,PAN,1314677.0
665,1965,GEO,3921600.0
666,1965,GUY,651868.0
667,1965,VEN,9692278.0
668,1965,COL,18725245.0
669,1965,PER,11711392.0
670,1965,UGA,7986066.0
671,1965,NZL,2628400.0
672,1965,ECU,5243977.0
673,1965,TKM,1892599.0
674,1965,TTO,911737.0
675,1965,DOM,3877765.0
676,1965,JAM,1756511.0
677,1965,LBR,1245102.0
678,1965,SUR,328936.0
679,1965,PLW,11003.0
680,1965,LTU,2971450.0
681,1965,NAM,716584.0
682,1965,UKR,45264548.0
683,1965,ISL,192286.0
684,1965,AUT,7270889.0
685,1965,RWA,3235531.0
686,1965,DMA,65038.0
687,1965,MLT,318800.0
688,1965,LUX,331500.0
689,1965,CYP,580966.0
690,1965,SGP,1886900.0
691,1965,SLE,2508219.0
692,1965,PNG,2485437.0
693,1965,AFG,9956320.0
694,1965,YEM,5727751.0
695,1965,MDA,2825000.0
696,1965,SRB,..
697,1965,CAF,1639706.0
698,1965,BIH,3535643.0
699,1965,GUM,74830.0
700,1965,SVK,4370983.0
701,1965,THA,31822660.0
702,1965,TLS,519686.0
703,1965,GAB,533361.0
704,1965,SMR,17513.0
705,1965,LAO,2382594.0
706,1965,KOR,28704674.0
707,1965,PRK,12547525.0
708,1965,MOZ,8039215.0
709,1965,SEN,3682876.0
710,1965,CPV,230418.0
711,1965,CZE,9779358.0
712,1965,BOL,4038872.0
713,1965,AND,18549.0
714,1965,HKG,3597900.0
715,1965,LCA,96134.0
716,1965,FSM,52227.0
717,1965,COD,17369883.0
718,1965,MLI,5568484.0
719,1965,STP,64892.0
720,1965,MKD,1592433.0
721,1965,LIE,18649.0
722,1965,MNE,526327.0
723,1965,ALB,1864791.0
724,1965,SWZ,373919.0
725,1965,BDI,3094379.0
726,1965,NRU,5856.0
727,1965,VNM,37858951.0
728,1965,MHL,17284.0
729,1965,KIR,46429.0
730,1965,TUV,5386.0
731,1965,SSD,3133150.0
732,1966,CHN,735400000.0
733,1966,FIN,4580869.0
734,1966,ROU,19215450.0
735,1966,NOR,3753012.0
