,Year,Country,Population,GDP
254,1962,RUS,122591000.0,..
255,1962,ARG,21153052.0,24450604878
256,1962,CUB,7453540.0,..
257,1962,BLR,8351928.0,..
258,1962,CMR,5398729.0,699373701.2
259,1962,MEX,40195319.0,15200000000.0
260,1962,USA,186538000.0,605000000000.0
261,1962,HUN,10061734.0,..
262,1962,BRN,89481.0,..
263,1962,PAK,47198878.0,4233095590.0
264,1962,IRQ,7674220.0,1954634836
265,1962,QAT,56262.0,..
266,1962,CAN,18614000.0,42868091993
267,1962,IRL,2836050.0,2260349684.0
268,1962,AUS,10742000.0,19892485161.0
269,1962,MAR,13094888.0,2379606422.0
270,1962,ERI,1060486,..
271,1962,JOR,1010658.0,..
272,1962,TUN,4305481.0,..
273,1962,BEL,9220578.0,13264015675.0
274,1962,DJI,94204.0,..
275,1962,COM,197198.0,..
276,1962,KAZ,10756928.0,..
277,1962,MDV,94905.0,..
278,1962,ETH,23221389.0,..
279,1962,UZB,9113620.0,..
280,1962,KGZ,2333400.0,..
281,1962,TJK,2236574.0,..
282,1962,JPN,95832000.0,60723018684.0
283,1962,BRA,76514328.0,19926293839.0
284,1962,ISR,2293000.0,2510000000.0
285,1962,SWE,7561588.0,17511477311.0
286,1962,TUR,28832827.0,8922222222.0
287,1962,ARM,2009526.0,..
288,1962,CIV,3770766.0,645284344.7
289,1962,KEN,8647011.0,868111400.0
290,1962,BEN,2502896.0,236434906.8
291,1962,GHA,7071971.0,1382515590
292,1962,SOM,2874218.0,203531927.5
293,1962,SYR,4875422.0,1110565864
294,1962,GBR,53250000.0,80601939635.0
295,1962,CHI,111457.0,..
296,1962,IND,469077190.0,42161482868.0
297,1962,POL,30308500.0,..
298,1962,PAN,1202449.0,652120900
299,1962,GEO,3760300.0,..
300,1962,GUY,606285.0,194948375.4
301,1962,VEN,8742777.0,8946969697
302,1962,COL,17092918.0,4955543963.0
303,1962,PER,10749466.0,3286773188.0
304,1962,UGA,7215796.0,449012578.6
305,1962,NZL,2482000.0,6077496268.0
306,1962,ECU,4809201.0,1518208221.0
307,1962,TKM,1715408.0,..
308,1962,TTO,879441.0,619319197.3
309,1962,DOM,3521018.0,824100000
310,1962,JAM,1676501.0,777712445.8
311,1962,LBR,1166648.0,..
312,1962,SUR,303895.0,116150000.0
313,1962,PLW,10317.0,..
314,1962,LTU,2863350.0,..
315,1962,NAM,665115.0,..
316,1962,UKR,43752230.0,..
317,1962,ISL,182378.0,284916516.2
318,1962,AUT,7129864.0,7756110210.0
319,1962,RWA,3052936.0,125000008.0
320,1962,DMA,61982.0,..
321,1962,MLT,323900.0,..
322,1962,LUX,320750.0,741509480.8
323,1962,CYP,577691.0,..
324,1962,SGP,1750200.0,826244610.0
325,1962,SLE,2388769.0,342721579.8
326,1962,PNG,2340352.0,261184037.4
327,1962,AFG,9351441.0,546666677.8
328,1962,YEM,5473671.0,..
329,1962,MDA,2664000.0,..
330,1962,SRB,..,..
331,1962,CAF,1551910.0,124482748.9
332,1962,BIH,3353226.0,..
333,1962,GUM,69604.0,..
334,1962,SVK,4238188.0,..
335,1962,THA,29080938.0,3308912797.0
336,1962,TLS,491571.0,..
337,1962,GAB,511287.0,182796536.5
338,1962,SMR,16255.0,..
339,1962,LAO,2221125.0,..
340,1962,KOR,26513030.0,2813856976.0
341,1962,PRK,11871712.0,..
342,1962,MOZ,7507303.0,..
343,1962,SEN,3386806.0,1085475573
344,1962,CPV,210142.0,..
345,1962,CZE,9624660.0,..
346,1962,BOL,3802990.0,444665186.4
347,1962,AND,15370.0,..
348,1962,HKG,3305200.0,1612346412.0
349,1962,LCA,91891.0,..
350,1962,FSM,47367.0,..
351,1962,COD,16041190.0,3779841429
352,1962,MLI,5381368.0,..
353,1962,STP,64479.0,..
354,1962,MKD,1527111.0,..
355,1962,LIE,17289.0,..
356,1962,MNE,502558.0,..
357,1962,ALB,1711319.0,..
358,1962,SWZ,350156.0,45927061.46
359,1962,BDI,2907321.0,213500006.0
